harmstring,cuadriceps,t
-0.000200257723918185,-0.00282082124613225,1713350770.35738
-0.000201483795535751,-0.00282606203109026,1713350770.39655
-0.000200762573513202,-0.00283488491550088,1713350770.3977
-0.000197036293684505,-0.00283813034184277,1713350770.41702
-0.000196339111425914,-0.00283541367389262,1713350770.4179
-0.000187107551028021,-0.00284039019607008,1713350770.44833
-0.000184967939276248,-0.00283195194788277,1713350770.44912
-0.000189463520655409,-0.00281858537346125,1713350770.47247
-0.000182034986210056,-0.00279783830046654,1713350770.47338
-0.000173067863215692,-0.00278240442276001,1713350770.49276
-0.000176866276888177,-0.00278067332692444,1713350770.49432
-0.000178404865437187,-0.00277564907446504,1713350770.5409
-0.000183140859007835,-0.00279269367456436,1713350770.54211
-0.000184054399142042,-0.00278264470398426,1713350770.59643
-0.000190665552509017,-0.00278699607588351,1713350770.59717
-0.000179150127223693,-0.00276689813472331,1713350770.62108
-0.000190304941497743,-0.00274821859784424,1713350770.62214
-0.000382653321139514,-0.00277564907446504,1713350770.7085
5.41152621735819E-05,-0.00275100744329393,1713350770.70945
-3.3440395782236E-05,-0.00274588679894805,1713350770.76052
-0.000289616407826543,-0.00280776713043451,1713350770.76161
-0.000284063047729433,-0.00277617783285677,1713350770.78031
-6.26015753368847E-05,-0.00275668106041849,1713350770.78142
-0.000291563716018572,-0.00278538535349071,1713350770.80462
-0.000258123298408464,-0.00272468291223049,1713350770.80581
-0.000290025112917647,-0.00274425209499896,1713350770.86463
-8.15695602796041E-05,-0.00275906105525792,1713350770.86539
-6.45248146611266E-05,-0.00273155863396823,1713350770.91254
-3.74070841644425E-05,-0.00275038229301572,1713350770.91352
-0.000208046854822896,-0.00273922760970891,1713350770.94045
-0.000154821100295521,-0.0027175669092685,1713350770.94122
-0.000126837898278609,-0.00274081411771476,1713350770.96436
-0.000116187940875534,-0.00274629541672766,1713350770.96542
-0.000171264822711237,-0.00275170453824103,1713350770.98475
-0.000206844837521203,-0.00274401158094406,1713350770.98617
-0.00014825802645646,-0.00276677799411118,1713350771.01242
-0.000173524633282796,-0.0027918522246182,1713350771.01305
-0.000278365449048579,-0.00276473467238247,1713350771.06434
-8.04156152298674E-05,-0.00279365526512265,1713350771.06531
-0.000169485821970738,-0.00278310151770711,1713350771.09243
-0.000201868431759067,-0.00280271866358817,1713350771.09363
-0.00019138675997965,-0.00281961914151907,1713350771.14035
-0.000225716663408093,-0.00279990583658218,1713350771.14119
-0.000174750704900362,-0.00281892204657197,1713350771.19229
-0.000192252220585942,-0.00282442732714117,1713350771.19304
-0.000165759542142041,-0.00282276840880513,1713350771.21289
-0.0001558067597216,-0.00285618472844362,1713350771.2143
-0.000145469326525927,-0.00280606024898589,1713350771.26092
-0.000150902487803251,-0.00284851575270295,1713350771.26219
-0.000133352892589755,-0.00284382794052362,1713350771.29227
-0.000102845442597754,-0.00286260363645852,1713350771.29376
-9.17867946554907E-05,-0.00287407101131976,1713350771.34087
-7.84683288657106E-05,-0.00288424012251198,1713350771.37245
-9.21473983908072E-05,-0.00288020120933652,1713350771.40028
-0.000140204443596303,-0.00287635484710336,1713350771.40102
-0.000174558386788704,-0.00288202846422791,1713350771.42439
-0.000215547508560121,-0.00289825582876801,1713350771.42552
-0.000220355621422641,-0.00290763145312667,1713350771.45231
-0.000234227016335353,-0.00291698332875967,1713350771.45305
-0.000221269161556847,-0.00292215193621814,1713350771.50469
-0.000152609369251877,-0.00290282350033522,1713350771.50569
-0.000182275398401544,-0.0029147716704756,1713350771.52856
-0.000135877155116759,-0.00289801531471312,1713350771.52964
-0.000135684822453186,-0.00290251080878079,1713350771.62525
