biceps,triceps,t
-0.00632917787879705,-6.67605854687281E-05,1713350784.10888
-0.00635350681841373,-0.000104263832326978,1713350784.11043
-0.00628664996474981,-7.7098018664401E-05,1713350784.12516
-0.00633362540975213,-6.36353142908774E-05,1713350784.12629
-0.00630874326452613,-4.75762353744358E-05,1713350784.14892
-0.00629225140437484,-5.09659512317739E-05,1713350784.15027
-0.00627499027177691,-4.29604515375104E-05,1713350784.22062
-0.0063931979238987,-7.07753570168279E-05,1713350784.22224
-0.00630713254213333,-4.65665325464215E-05,1713350784.2235
-0.00616365857422352,-7.42852762414259E-06,1713350784.22446
-0.00628677010536194,-5.24324241268914E-05,1713350784.309
-0.00635088654235005,-5.59183026780374E-05,1713350784.31049
-0.00633557233959436,-4.65184493805282E-05,1713350784.32526
-0.00628261128440499,-2.72379347734386E-05,1713350784.32683
-0.00626595132052898,-1.34867441374809E-05,1713350784.34933
-0.00617481349036098,4.18305444327416E-06,1713350784.35096
-0.00625522900372744,-3.17575577355456E-05,1713350784.40106
-0.00618452578783035,-3.85369894502219E-05,1713350784.40218
-0.00605843309313059,5.44277900189627E-05,1713350784.42514
-0.00603869603946805,1.38713930937229E-05,1713350784.42663
-0.00620777299627662,-1.74053529917728E-05,1713350784.46935
-0.00615389831364155,5.42835441592615E-05,1713350784.47048
-0.00639817398041487,-9.72199559328146E-05,1713350784.52062
-0.00635463651269674,-4.62540047010407E-05,1713350784.52188
-0.00579454004764557,9.44552957662381E-05,1713350784.54981
-0.00648666732013226,-4.86580574943218E-05,1713350784.55119
-0.00622871238738298,-3.16133155138232E-05,1713350784.60054
-0.00508197862654924,0.0002550701610744,1713350784.60172
-0.00546314148232341,0.00011260589963058,1713350784.62459
-0.00657299673184752,-0.0001235203089891,1713350784.62554
-0.00640165992081165,-5.82983157073613E-05,1713350784.68134
-0.00608718581497669,-8.7747985162423E-06,1713350784.68322
-0.00672212056815624,-9.397447865922E-05,1713350784.72938
-0.0059114252217114,9.18348723644158E-06,1713350784.73077
-0.00607696827501059,7.90933881944511E-06,1713350784.76475
-0.00615815352648497,-7.31313339201733E-05,1713350784.76656
-0.00585144432261586,7.13042536517605E-05,1713350784.79309
-0.0065129678696394,-3.80321398552041E-05,1713350784.79479
-0.00625962857156992,-3.38971653945919E-06,1713350784.86087
-0.00618558377027512,-3.94264907299657E-06,1713350784.8621
-0.00617221696302295,-3.86812353099231E-05,1713350784.881
-0.00568712688982487,7.63046846259385E-05,1713350784.88267
-0.00624121353030205,3.60608146365848E-06,1713350784.91671
-0.00622955383732915,-7.16408158041304E-06,1713350784.91839
-0.00624914700165391,-1.44724072015379E-05,1713350784.95283
-0.0062693408690393,-3.87052750738803E-06,1713350784.95434
-0.00628741923719645,-8.58247403812129E-06,1713350784.99772
-0.00632809614762664,-8.39014956000028E-06,1713350784.99895
-0.00629564141854644,-1.28857309391606E-05,1713350785.02168
-0.00632271077483892,-8.67863582243444E-06,1713350785.02293
-0.00637216214090586,9.27964993024943E-06,1713350785.06463
-0.00640930468216538,-2.85120840999298E-05,1713350785.06614
-0.00641632452607155,-6.07264119025785E-05,1713350785.12455
-0.00640331860631704,-0.000119890188216232,1713350785.12568
-0.00635081436485052,-4.95716012665071E-05,1713350785.14528
-0.00627979869022965,-4.59895600215532E-05,1713350785.14667
-0.00630768574774265,-7.1785063482821E-05,1713350785.20161
-0.00636680144816637,-0.000108759413706139,1713350785.20311
-0.00631934497505426,-4.38980314356741E-05,1713350785.24487
-0.00635478086769581,-6.04860069870483E-05,1713350785.24626
-0.00635670404881239,-4.04842758143786E-05,1713350785.28133
-0.00636802706867456,-6.59191719023511E-05,1713350785.28291
-0.00637632142752409,-5.4019099479774E-05,1713350785.30933
-0.0063682678155601,-4.05563951062504E-05,1713350785.31074
