index,ECG
1742986057.1051428,-0.0027175429722717964
1742986057.1070957,-0.002722351080856849
1742986057.1090488,-0.0027348521631779866
1742986057.111002,-0.0027271591894419025
1742986057.1129549,-0.0028396689303321356
1742986057.114908,-0.0028733256904275046
1742986057.1168609,-0.0028973662333527683
1742986057.118814,-0.0028502467692192515
1742986057.1207669,-0.0028300527131620303
1742986057.12272,-0.0028069737919537772
1742986057.1246731,-0.0028012040616517144
1742986057.1266258,-0.002771393788424387
1742986057.128579,-0.0027483148672161344
1742986057.1305318,-0.002781971627311503
1742986057.132485,-0.0029185219111270005
1742986057.1344378,-0.0030175689479790863
1742986057.136391,-0.0030329548954512553
1742986057.138344,-0.0029800657010156757
1742986057.140297,-0.0029685262404115487
1742986057.14225,-0.002856016499521315
1742986057.144203,-0.0027617775712542817
1742986057.1461558,-0.0027204278374228282
1742986057.1481087,-0.002780048383877482
1742986057.1500618,-0.002871402446993484
1742986057.1520147,-0.0029444856974862846
1742986057.1539679,-0.0030194921914131075
1742986057.155921,-0.0030214154348471283
1742986057.1578739,-0.003048340842923424
1742986057.159827,-0.002881018664163589
1742986057.1617799,-0.0028598629863893573
1742986057.163733,-0.002685809455610449
1742986057.1656861,-0.0026810013470253964
1742986057.1676388,-0.002654075938949101
1742986057.169592,-0.002659845669251164
1742986057.1715448,-0.002605033231381563
1742986057.173498,-0.002533873224322783
1742986057.1754508,-0.0025896472839093943
1742986057.177404,-0.0026319586394578584
1742986057.1793568,-0.0026569608041001323
1742986057.18131,-0.0026838862121764274
1742986057.183263,-0.0027338905414609764
1742986057.185216,-0.0028252446045769776
1742986057.1871688,-0.0028589013646723466
1742986057.1891217,-0.002931984615165148
1742986057.1910748,-0.0029069824505228736
1742986057.1930277,-0.002891596503050705
1742986057.1949809,-0.0028396689303321356
1742986057.196934,-0.0028069737919537772
1742986057.1988869,-0.00286563271669142
1742986057.20084,-0.002977180835864644
1742986057.202793,-0.0030935370636229194
1742986057.204746,-0.003105076524227046
1742986057.206699,-0.0031108462545291087
1742986057.2086518,-0.003234895456023469
1742986057.210605,-0.0033185565454033864
1742986057.2125578,-0.003298362489346165
1742986057.214511,-0.0032137397782492374
1742986057.2164638,-0.003114692741397151
1742986057.218417,-0.0029646797535435067
1742986057.2203698,-0.0028262062262939883
1742986057.222323,-0.0026358051263259004
1742986057.224276,-0.0024857921384722555
1742986057.226229,-0.0025886856621923837
1742986057.228182,-0.002817551630840893
1742986057.2301347,-0.0029348694803161793
1742986057.2320879,-0.0029598716449584536
1742986057.2340407,-0.0029541019146563908
1742986057.2359939,-0.0028271678480109984
1742986057.237947,-0.0026838862121764274
1742986057.2398999,-0.0026348435046088903
1742986057.241853,-0.0024617515955469922
1742986057.243806,-0.002398284562224296
1742986057.245759,-0.002398284562224296
1742986057.247712,-0.002445404026357813
1742986057.249665,-0.0025406045763418567
1742986057.251618,-0.002661768912685185
1742986057.2535708,-0.0027281208111589127
1742986057.255524,-0.002738698650046029
1742986057.2574768,-0.0027406218934800494
1742986057.25943,-0.002751199732367166
1742986057.2613828,-0.002817551630840893
1742986057.263336,-0.0028531316343702834
1742986057.265289,-0.0028377456868981144
1742986057.267242,-0.002890634881333695
1742986057.269195,-0.0029194835328440107
1742986057.2711477,-0.002975257592430622
1742986057.2731009,-0.0030618035469615716
1742986057.2750537,-0.003085844089886835
1742986057.2770069,-0.003004106243940939
1742986057.27896,-0.003100268415641993
1742986057.2809129,-0.0032714370812698696
1742986057.282866,-0.0034176035822554725
1742986057.284819,-0.003540691162032822
1742986057.286772,-0.0035012646716353897
1742986057.288725,-0.0034368360165956836
1742986057.290678,-0.003241626808042543
1742986057.2926307,-0.0029358311020331903
1742986057.2945838,-0.0025521440369459833
1742986057.296537,-0.0023146234728443787
1742986057.2984898,-0.00213960832034846
1742986057.300443,-0.002211729949124251
1742986057.3023958,-0.0023530883415248008
1742986057.304349,-0.002320393203146442
1742986057.306302,-0.0024973315990763816
1742986057.308255,-0.00279447270963264
1742986057.310208,-0.0034281814211425884
1742986057.3121607,-0.0037089749625096673
1742986057.3141139,-0.003773403617549374
1742986057.3160667,-0.0035301133231457056
1742986057.3180199,-0.0031473878797755096
1742986057.3199728,-0.002708888376818702
1742986057.3219259,-0.0023578964501098534
1742986057.323879,-0.0021992288668031133
1742986057.325832,-0.0022751969824469464
1742986057.327785,-0.0024646364606980237
1742986057.329738,-0.002639651613193943
1742986057.331691,-0.0027858181141795454
1742986057.3336437,-0.0030906521984718875
1742986057.3355968,-0.00332432627570545
1742986057.33755,-0.003701281988773583
1742986057.3395028,-0.00357242467869417
1742986057.341456,-0.003245473294910585
1742986057.3434088,-0.002856016499521315
1742986057.345362,-0.0025444510632098988
1742986057.3473148,-0.0023790521278840853
1742986057.349268,-0.002590608905626405
1742986057.351221,-0.002989681918185781
1742986057.353174,-0.0035339598100137485
1742986057.3551269,-0.0040147706685190205
1742986057.3570797,-0.004162860412938644
1742986057.3590329,-0.003808021999361753
1742986057.3609858,-0.00332432627570545
1742986057.362939,-0.0024886770036232873
1742986057.364892,-0.0021232607511592807
1742986057.366845,-0.001985748845626773
1742986057.368798,-0.0019232434340210873
1742986057.370751,-0.0020896039910639117
